$Date;$Time;INTTAG;REALTAG
01/30/25;14:05:48;500;576,6871
01/30/25;14:06:00;500;576,6871
01/30/25;14:06:12;500;576,6871
01/30/25;14:06:24;500;576,6871
01/30/25;14:06:36;500;576,6871
01/30/25;14:06:48;500;576,6871
01/30/25;14:07:00;500;576,6871
01/30/25;14:07:12;500;576,6871
01/30/25;14:07:24;500;576,6871
01/30/25;14:07:36;500;576,6871
01/30/25;14:07:48;500;576,6871
01/30/25;14:08:00;500;576,6871
01/30/25;14:08:12;500;576,6871
01/30/25;14:08:24;500;576,6871
01/30/25;14:08:36;500;576,6871
01/30/25;14:08:48;500;576,6871
01/30/25;14:09:00;500;576,6871
01/30/25;14:09:12;500;576,6871
01/30/25;14:09:24;500;576,6871
01/30/25;14:09:36;500;576,6871
01/30/25;14:09:48;500;576,6871
01/30/25;14:10:00;500;576,6871
01/30/25;14:10:12;500;576,6871
01/30/25;14:10:24;500;576,6871
01/30/25;14:10:36;500;576,6871
01/30/25;14:10:48;500;576,6871
01/30/25;14:11:00;500;576,6871
01/30/25;14:11:12;500;576,6871
01/30/25;14:11:24;500;576,6871
01/30/25;14:11:36;500;576,6871
01/30/25;14:11:48;500;576,6871
01/30/25;14:12:00;582;576,6871
01/30/25;14:12:12;576;413,5802
01/30/25;14:12:24;;
01/30/25;14:12:36;500;250
01/30/25;14:12:48;500;250
01/30/25;14:13:00;500;250
01/30/25;14:13:12;680;250
01/30/25;14:13:24;680;250
01/30/25;14:13:36;386;401,2346
01/30/25;14:13:48;386;401,2346
01/30/25;14:14:00;214;864,1975
01/30/25;14:14:12;171;160,4938
01/30/25;14:14:24;171;160,4938
01/30/25;14:14:36;171;160,4938
01/30/25;14:14:48;171;160,4938
01/30/25;14:15:00;171;160,4938
01/30/25;14:15:12;171;160,4938
01/30/25;14:15:24;288;703,7037
01/30/25;14:15:36;288;432,0988
01/30/25;14:15:48;288;432,0988
